timestamp,portfolio_value,cash
2026-07-20T13:44:02.497818,1000566.02,799745.11
2026-07-20T13:44:12.937341,1000557.94,799745.11
2026-07-20T13:44:23.377238,1000530.26,799745.11
2026-07-20T13:44:33.823380,1000530.26,799745.11
2026-07-20T13:44:44.250656,1000530.26,799745.11
2026-07-20T13:44:54.678520,1000530.26,799745.11
2026-07-20T13:45:05.095604,1000530.26,799745.11
2026-07-20T13:45:15.518592,1000522.56,799745.11
2026-07-20T13:45:25.941059,1000522.56,799745.11
2026-07-20T13:45:36.372747,1000522.56,799745.11
2026-07-20T13:45:46.803368,1000522.56,799745.11
2026-07-20T13:45:57.241938,1000458.03,799745.12
2026-07-20T13:46:07.657854,1000456.64,799745.12
2026-07-20T13:46:18.067354,1000456.64,799745.12
2026-07-20T13:46:28.495375,1000456.64,799745.12
2026-07-20T13:46:38.918758,1000456.64,799745.12
2026-07-20T13:46:49.360726,1000589.31,799745.11
2026-07-20T13:46:59.780242,1000589.15,799745.11
2026-07-20T13:47:10.194496,1000589.15,799745.11
2026-07-20T13:47:20.627180,1000589.15,799745.11
2026-07-20T13:47:31.057153,1000589.15,799745.11
2026-07-20T13:47:41.497997,1000589.15,799745.11
2026-07-20T13:47:51.942791,1000592.12,799745.11
2026-07-20T13:48:02.441634,1000592.12,799745.11
2026-07-20T13:48:12.857758,1000592.12,799745.11
2026-07-20T13:48:23.293268,1000592.12,799745.11
2026-07-20T13:48:33.713543,1000592.12,799745.11
2026-07-20T13:48:44.144762,1000592.12,799745.11
2026-07-20T13:48:54.569920,1000592.12,799745.11
2026-07-20T13:49:04.980074,1000592.12,799745.11
2026-07-20T13:49:15.398360,1000592.12,799745.11
2026-07-20T13:50:18.498044,1000592.14,799745.11
2026-07-20T13:50:36.190440,1000592.14,799745.11
2026-07-20T13:50:46.609032,1000592.13,799745.11
2026-07-20T13:50:57.033487,1000592.13,799745.11
2026-07-20T13:51:07.459703,1000592.13,799745.11
