timestamp,portfolio_value,cash
2026-07-20T12:42:52.716472,99979.36,89994.68
2026-07-20T12:43:03.034415,99979.36,89994.68
2026-07-20T12:43:13.351592,99979.36,89994.68
2026-07-20T12:43:20.296484,99979.36,89994.68
2026-07-20T12:43:48.847992,99979.36,89994.68
2026-07-20T12:43:59.166934,99979.36,89994.68
2026-07-20T12:44:09.484007,99979.36,89994.68
2026-07-20T12:44:19.809558,99979.36,89994.68
2026-07-20T12:44:30.121132,99979.36,89994.68
2026-07-20T12:44:40.439902,99979.36,89994.68
2026-07-20T12:44:50.753373,99979.36,89994.68
2026-07-20T12:45:01.064768,99979.36,89994.68
2026-07-20T12:45:11.415956,99979.36,89994.68
2026-07-20T12:45:21.735457,99979.36,89994.68
2026-07-20T12:45:32.095695,99979.36,89994.68
2026-07-20T12:45:42.419282,99979.36,89994.68
2026-07-20T12:45:52.730618,99979.36,89994.68
2026-07-20T12:46:03.042523,99979.36,89994.68
2026-07-20T12:46:13.372264,99979.36,89994.68
2026-07-20T12:46:23.682995,99979.36,89994.68
2026-07-20T12:47:18.686971,99979.36,89994.68
2026-07-20T12:47:47.935958,99797.07,79976.93
2026-07-20T12:48:18.262768,99797.07,79976.93
2026-07-20T12:48:48.587107,99797.07,79976.93
2026-07-20T13:00:44.580805,99805.35,79976.93
2026-07-20T13:01:13.762782,99805.02,79952.65
2026-07-20T13:01:44.089041,99804.89,79952.65
2026-07-20T13:02:14.450949,99804.89,79952.65
2026-07-20T13:02:59.948025,99804.89,79952.65
2026-07-20T13:03:30.262465,99804.89,79952.65
2026-07-20T13:07:49.358218,1000000.0,1000000.0
2026-07-20T13:08:19.937633,999757.2,800001.89
2026-07-20T13:08:50.262449,999750.44,800001.89
2026-07-20T13:09:20.632019,999749.31,800001.9
